cellname,celltype_labels,imaging_modality,gad1b_ID,vglut2a_ID,photoactivation_ID,verification_ID,function_ID,date_of_tracing,tracer,comments
"""20230226.1""","[""integrator"",""inhibitory"",""ispilateral""]","""photoactivation""","""2023-03-01_12-20-20""","""2023-03-01_15-22-35""","""2023-02-26_16-20-01""",,"""2023-02-26_12-32-33""",,"""Florian Kämpf""","""neurotransmitter certainty: 75%"""
"""20230314.2""","[""integrator"",""contralateral""]","""photoactivation""","""2023-04-09_14-45-00""","""2023-04-09_15-42-56""","""2023-03-14_19-20-19""",,"""2023-03-14_17-13-21""",,"""Florian Kämpf""","""no neurotransmitter"""
"""20230320.2""","[""dynamic_threshold"",""excitatory"",""contralateral""]","""photoactivation""","""2023-05-15_12-14-54""","""2023-05-15_13-10-44""","""2023-03-20_17-05-10""",,"""2023-03-20_15-00-12""","""23-03-20""","""Florian Kämpf""","""neurotransmitter certainty: 90%"""
"""20230321.1""","[""dynamic_threshold"",""inhibitory"",""contralateral""]","""photoactivation""","""2023-04-24_07-50-47""","""2023-05-05_11-43-12""","""2023-03-21_14-40-41""",,"""2023-03-21_11-04-42""","""23-05-23""","""Florian Kämpf""","""neurotransmitter certainty: 99%"""
"""20230323.2""","[""dynamic_threshold"",""inhibitory"",""contralateral""]","""photoactivation""","""2023-05-06_14-19-00""","""2023-05-06_15-03-13""","""2023-03-23_17-06-37""",,"""2023-03-23_14-12-43""","""23-05-23""","""Florian Kämpf""","""neurotransmitter certainty: 75%"""
"""20230324.1""","[""dynamic_threshold"",""inhibitory"",""contralateral""]","""photoactivation""","""2023-05-07_14-40-31""","""2023-05-07_15-26-04""","""2023-03-24_10-38-30""",,"""2023-03-24_08-12-55""","""23-05-23""","""Florian Kämpf""","""neurotransmitter certainty: 100%"""
"""20230327.1""","[""integrator"",""ipsilateral"",""excitatory""]","""photoactivation""","""2023-05-15_01-44-06""","""2023-05-14_23-54-46""","""2023-03-27_11-58-51""",,"""2023-03-27_09-20-24""","""23-05-01""","""Florian Kämpf""","""neurotransmitter certainty: 15%"""
"""20230327.2""","[""dynamic_threshold"",""excitatory"",""contralateral""]","""photoactivation""","""2023-05-15_06-36-31""","""2023-05-15_09-49-15""","""2023-03-27_17-46-50""",,"""2023-03-27_15-30-06""","""23-05-04""","""Florian Kämpf""","""neurotransmitter certainty: 70%"""
"""20230328.1""","[""dynamic_threshold"",""inhibitory"",""contralateral""]","""photoactivation""","""2023-06-03_14-07-19""","""2023-06-03_14-59-37""","""2023-03-28_17-41-21""",,"""2023-03-28_15-10-52""","""23-04-04""","""Florian Kämpf""","""neurotransmitter certainty: 55%"""
"""20230403.1""","[""dynamic_threshold"",""inhibitory"",""contralateral""]","""photoactivation""","""2023-06-02_15-17-07""","""2023-06-02_17-00-34""","""2023-04-03_14-39-19""",,"""2023-04-03_12-25-12""","""23-04-04""","""Florian Kämpf""","""neurotransmitter certainty: 100%"""
"""20230413.1""","[""dynamic_threshold"",""contralateral""]","""photoactivation""",,,"""2023-04-13_11-20-29""","""2023-04-13_10-53-53""","""2023-04-13_08-23-16""","""23-05-02""","""Florian Kämpf""","""no neurotransmitter"""
"""20230413.2""","[""dynamic_threshold"",""inhibitory"",""contralateral""]","""photoactivation""","""2023-06-09_11-44-17""","""2023-06-09_13-19-44""","""2023-04-13_17-31-33""","""2023-04-13_16-46-45""","""2023-04-13_14-25-04""","""23-05-22""","""Florian Kämpf""","""neurotransmitter certainty: 80%"""
"""20230413.3""","[""dynamic_threshold"",""ipsilateral""]","""photoactivation""",,,"""2023-04-13_22-45-21""","""2023-04-13_22-16-21""","""2023-04-13_20-21-53""","""23-05-22""","""Florian Kämpf""","""no neurotransmitter"""
"""20230417.2""","[""dynamic_threshold"",""inhibitory"",""contralateral""]","""photoactivation""","""2023-07-31_18-42-12""","""2023-07-31_23-08-39""","""2023-04-17_17-16-05""","""2023-04-17_16-40-57""","""2023-04-17_15-51-33""","""23-05-16""","""Florian Kämpf""","""neurotransmitter certainty: 95%"""
"""20230418.1""","[""dynamic_threshold"",""inhibitory"",""contralateral""]","""photoactivation""","""2023-07-30_17-43-42""","""2023-07-30_18-59-43""","""2023-04-18_15-09-08""","""2023-04-18_14-37-44""","""2023-04-18_13-37-23""","""23-05-16""","""Florian Kämpf""","""neurotransmitter certainty: 100%"""
"""20230424.1""","[""dynamic_threshold"",""inhibitory"",""contralateral""]","""photoactivation""","""2023-07-31_18-44-13""","""2023-07-31_20-06-52""","""2023-04-24_15-26-14""","""2023-04-24_12-50-33""","""2023-04-24_11-32-10""","""23-06-06""","""Florian Kämpf""","""neurotransmitter certainty: 80%"""
"""20230424.2""","[""dynamic_threshold"",""inhibitory"",""contralateral""]","""photoactivation""","""2023-07-31_13-39-53""","""2023-07-31_15-20-16""","""2023-04-24_20-26-09""","""2023-04-24_19-49-39""","""2023-04-24_19-03-23""","""23-05-22""","""Florian Kämpf""","""neurotransmitter certainty: 65%"""
"""20230427.1""","[""dynamic_threshold"",""inhibitory"",""contralateral""]","""photoactivation""","""2023-07-30_17-43-14""","""2023-07-30_22-45-15""","""2023-04-27_10-34-03""","""2023-04-27_10-00-09""","""2023-04-27_09-20-30""","""23-05-10""","""Florian Kämpf""","""neurotransmitter certainty: 78%"""
"""20230427.2""","[""dynamic_threshold"",""inhibitory"",""contralateral""]","""photoactivation""","""2023-07-31_08-45-08""","""2023-07-31_10-16-17""","""2023-04-27_14-45-57""","""2023-04-27_14-06-45""","""2023-04-27_13-22-12""","""23-06-06""","""Florian Kämpf""","""neurotransmitter certainty: 95%"""
"""20230428.1""","[""dynamic_threshold"",""inhibitory"",""contralateral""]","""photoactivation""","""2023-08-01_09-35-15""","""2023-08-01_11-46-37""","""2023-04-28_11-22-21""","""2023-04-28_10-41-35""","""2023-04-28_10-08-01""","""23-06-07""","""Florian Kämpf""","""neurotransmitter certainty: 60%"""
"""20230428.2""","[""integrator"",""ipsilateral"",""inhibitory""]","""photoactivation""","""2023-08-01_15-19-12""","""2023-08-01_16-42-47""","""2023-04-28_16-07-27""","""2023-04-28_15-28-28""","""2023-04-28_14-53-49""","""23-06-09""","""Florian Kämpf""","""neurotransmitter certainty: 100%"""
"""20230430.1""","[""motor_command"",""contralateral"",""inhibitory""]","""photoactivation""","""2023-08-21_11-16-13""","""2023-08-21_13-34-53""","""2023-04-30_15-06-43""","""2023-04-30_14-29-18""","""2023-04-30_13-50-15""","""23-05-08""","""Florian Kämpf""","""neurotransmitter certainty: 40%"""
"""20230430.2""","[""integrator"",""ipsilateral"",""inhibitory""]","""photoactivation""","""2023-08-01_15-21-00""","""2023-08-01_19-34-57""","""2023-04-30_19-08-10""","""2023-04-30_18-36-20""","""2023-04-30_17-55-34""","""23-05-08""","""Florian Kämpf""","""neurotransmitter certainty: 100%"""
"""20230508.1""","[""integrator"",""contralateral""]","""photoactivation""",,,"""2023-05-08_14-10-57""","""2023-05-08_13-22-51""","""2023-05-08_12-52-00""","""23-06-09""","""Florian Kämpf""","""no neurotransmitter"""
"""20230513.1""","[""integrator"",""ipsilateral"",""inhibitory""]","""photoactivation""","""2023-08-03_08-36-32""","""2023-08-03_09-51-25""","""2023-05-13_09-13-00""","""2023-05-13_08-36-18""","""2023-05-13_08-06-41""","""23-06-09""","""Florian Kämpf""","""neurotransmitter certainty: 100%"""
"""20230513.2""","[""integrator"",""contralateral""]","""photoactivation""",,,"""2023-05-13_16-40-52""","""2023-05-13_16-03-08""","""2023-05-13_15-24-54""","""23-06-10""","""Florian Kämpf""","""no neurotransmitter"""
"""20230519.1""","[""integrator"",""ipsilateral"",""excitatory""]","""photoactivation""","""2023-08-03_16-34-05""","""2023-08-04_09-25-48""","""2023-05-19_14-11-14""","""2023-05-19_13-30-57""","""2023-05-19_12-54-32""","""23-06-11""","""Florian Kämpf""","""neurotransmitter certainty: 10%"""
"""20230520.1""","[""integrator"",""contralateral"",""inhibitory""]","""photoactivation""","""2023-08-07_10-37-44""","""2023-08-07_12-00-15""","""2023-05-20_14-29-53""","""2023-05-20_13-56-59""","""2023-05-20_13-06-03""","""23-06-11""","""Florian Kämpf""","""neurotransmitter certainty: 20%"""
"""20230526.1""","[""integrator"",""ipsilateral"",""inhibitory""]","""photoactivation""","""2023-08-07_10-39-16""","""2023-08-07_15-27-08""","""2023-05-26_11-47-21""","""2023-05-26_11-05-17""","""2023-05-26_10-14-11""","""23-10-18""","""Florian Kämpf""","""neurotransmitter certainty: 90%"""
"""20230526.2""","[""integrator"",""ipsilateral"",""excitatory""]","""photoactivation""","""2023-08-08_10-02-56""","""2023-08-08_11-24-22""","""2023-05-26_12-27-59""","""2023-05-26_11-35-11""","""2023-05-26_11-00-06""","""23-10-18""","""Florian Kämpf""","""neurotransmitter certainty: 60%"""
"""20230527.1""","[""motor_command"",""contralateral"",""inhibitory""]","""photoactivation""","""2023-08-08_10-01-49""","""2023-08-08_16-27-39""","""2023-05-27_14-54-24""","""2023-05-27_13-59-19""","""2023-05-27_12-49-19""","""23-10-19""","""Florian Kämpf""","""neurotransmitter certainty: 75%"""
"""20230527.2""","[""integrator"",""ipsilateral"",""inhibitory""]","""photoactivation""","""2023-08-29_10-29-06""","""2023-08-29_14-41-10""","""2023-05-27_14-51-02""","""2023-05-27_17-34-58""","""2023-05-27_12-11-55""","""23-10-19""","""Florian Kämpf""","""neurotransmitter certainty: 100%"""
"""20230529.1""","[""integrator"",""ipsilateral"",""inhibitory""]","""photoactivation""","""2023-08-29_10-25-08""","""2023-08-29_11-46-03""","""2023-05-29_15-04-12""","""2023-05-29_14-28-45""","""2023-05-29_13-48-38""","""23-12-11""","""Florian Kämpf""","""neurotransmitter certainty: 100%"""
"""20230529.2""","[""motor_command"",""contralateral"",""inhibitory""]","""photoactivation""","""2023-08-30_10-37-49""","""2023-08-30_12-13-19""","""2023-05-29_15-07-35""","""2023-05-29_14-30-22""","""2023-05-29_13-10-53""","""24-02-27""","""Florian Kämpf""","""neurotransmitter certainty: 90%"""
"""20230613.1""","[""motor_command"",""contralateral"",""inhibitory""]","""photoactivation""","""2023-08-30_16-04-46""","""2023-08-30_17-22-44""","""2023-06-13_10-26-05""","""2023-06-13_09-37-09""","""2023-06-13_08-56-20""","""24-02-29""","""Florian Kämpf""","""neurotransmitter certainty: 100%"""
"""20230613.3""","[""integrator"",""contralateral""]","""photoactivation""",,,"""2023-06-13_16-25-37""","""2023-06-13_15-14-25""","""2023-06-13_14-41-35""","""24-01-22""","""Florian Kämpf""","""no neurotransmitter"""
"""20230613.4""","[""motor_command"",""contralateral"",""excitatory""]","""photoactivation""","""2023-08-24_10-08-43""","""2023-08-24_11-44-15""","""2023-06-13_16-58-41""","""2023-06-13_16-20-01""","""2023-06-13_15-44-04""","""24-01-22""","""Florian Kämpf""","""neurotransmitter certainty: 35%"""
"""20230619.1""","[""integrator"",""contralateral"",""inhibitory""]","""photoactivation""","""2023-08-22_10-28-55""","""2023-08-22_15-07-01""","""2023-06-19_12-52-33""","""2023-06-19_12-00-05""","""2023-06-19_10-56-28""","""24-03-06""","""Florian Kämpf""","""neurotransmitter certainty: 99%"""
"""20230628.2""","[""motor_command"",""contralateral"",""inhibitory""]","""photoactivation""","""2023-08-23_12-13-00""","""2023-08-23_13-38-48""","""2023-06-28_11-52-57""","""2023-06-28_11-10-11""","""2023-06-28_10-16-54""","""24-01-24""","""Florian Kämpf""","""neurotransmitter certainty: 95%"""
"""20230628.4""","[""integrator"",""contralateral"",""inhibitory""]","""photoactivation""","""2023-08-17_12-17-45""","""2023-08-17_13-23-10""","""2023-06-28_18-11-03""","""2023-06-28_17-34-46""","""2023-06-28_16-43-13""","""24-01-23""","""Florian Kämpf""","""neurotransmitter certainty: 100%"""
"""20240131.1""",,"""photoactivation""",,,"""2024-01-31_13-43-51_fish003_FK""","""2024-01-31_12-51-13_fish003_FK""","""2024-01-31_11-45-21_fish003_FK""",,"""Florian Kämpf""",
"""20240131.2""",,"""photoactivation""",,,"""2024-01-31_13-42-21_fish004_FK""","""2024-01-31_12-53-19_fish004_FK""","""2024-01-31_11-52-58_fish004_FK""",,"""Florian Kämpf""",
"""20240219.1""",,"""photoactivation""",,,"""2024-02-19_12-01-03_fish001_FK""","""2024-02-19_10-58-44_fish001_FK""","""2024-02-19_10-04-38_fish001_FK""",,"""Florian Kämpf""","""no neurotransmitter"""
"""20240219.2""",,"""photoactivation""",,,"""2024-02-19_11-56-23_fish001_FK""","""2024-02-19_10-58-27_fish001_FK""","""2024-02-19_10-10-57_fish001_FK""",,"""Florian Kämpf""","""no neurotransmitter"""
"""20240220.0""",,"""photoactivation""","""2024-03-07_11-41-19_fish000_FK""","""2024-03-07_13-21-58_fish000_FK""","""2024-02-20_14-02-32_fish000_FK""","""2024-02-20_13-08-54_fish000_FK""","""2024-02-20_11-44-53_fish000_FK""",,"""Florian Kämpf""",
"""20240220.1""",,"""photoactivation""",,,"""2024-02-20_13-11-30_fish000_FK""","""2024-02-20_12-16-29_fish000_FK""","""2024-02-20_10-27-11_fish000_FK""",,"""Florian Kämpf""",
"""20240302.0""",,"""photoactivation""",,,"""2024-03-02_16-33-55_fish000_FK""","""2024-03-02_15-41-57_fish000_FK""","""2024-03-02_14-34-10_fish000_FK""",,"""Florian Kämpf""",
"""20240302.1""",,"""photoactivation""",,,"""2024-03-02_16-35-45_fish001_FK""","""2024-03-02_15-44-57_fish001_FK""","""2024-03-02_15-09-14_fish001_FK""",,"""Florian Kämpf""",
,,,,,,,,,,
